Arrival Date,Market,District,Modal Price Per Kg,Arrival Quantity Kg,arrival_change_pct,price_change_pct,price_deviation_pct,arrival_deviation_pct,anomaly_score,overall_shock,supply_shock,price_shock,shock_status
2026-01-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,23.0,3780.0,6.779661016949157,4.545454545454541,2.875399361022362,8.30945558739255,0.18017003039240864,NORMAL,NORMAL,NORMAL,NORMAL
2026-01-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,22.5,3120.0,-17.460317460317466,-2.1739130434782594,0.9615384615384661,-8.167770419426049,0.17193956733442817,NORMAL,NORMAL,NORMAL,NORMAL
2026-01-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,22.5,3830.0,22.756410256410263,0.0,0.9615384615384661,9.931113662456946,0.17340983769612456,NORMAL,NORMAL,NORMAL,NORMAL
2026-01-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,22.5,3670.0,-4.177545691906004,0.0,0.6389776357827454,4.409672830725462,0.20516247214316347,NORMAL,NORMAL,NORMAL,NORMAL
2026-01-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,18.0,3880.0,5.722070844686655,-19.999999999999996,-17.377049180327862,8.77052462955546,0.10396475017695006,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-01-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,13.5,3980.0,2.577319587628857,-25.0,-34.37500000000001,7.984496124031006,-0.00522217061086816,SHOCK,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-01-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,11.0,4080.0,2.5125628140703515,-18.518518518518523,-42.10526315789473,8.428246013667431,0.011942967576060615,NORMAL,NORMAL,PRICE SHOCK,PRICE SHOCK
2026-01-31,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,3510.0,-13.970588235294112,9.090909090909083,-31.147540983606554,-5.75373993095512,0.04291832103536608,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,2640.0,-24.786324786324787,0.0,-24.663677130044846,-27.784290738569755,0.03910103849104374,NORMAL,NORMAL,NORMAL,NORMAL
2026-02-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,12.0,2250.0,-14.77272727272727,0.0,-16.831683168316832,-34.40233236151604,0.07668819826167705,NORMAL,NORMAL,NORMAL,NORMAL
