buyer,quantity,offer_price,reservation_price,decision,counteroffer,explanation
Local Trader,200,22.05,32.13,REJECT,,The offer of ₹22.05/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Local Trader,100,30.36,32.13,NEGOTIATE,33.42,The offer of ₹30.36/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
Local Trader,300,22.78,32.13,REJECT,,The offer of ₹22.78/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Local Trader,500,30.98,32.13,NEGOTIATE,33.42,The offer of ₹30.98/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
Local Trader,500,31.39,32.13,NEGOTIATE,33.42,The offer of ₹31.39/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
Local Trader,100,30.38,32.13,NEGOTIATE,33.42,The offer of ₹30.38/kg is slightly below your minimum acceptable price of ₹32.13/kg. The best alternative is Coimbatore. Try negotiating at approximately ₹33.42/kg.
Local Trader,400,33.55,32.13,ACCEPT,,"The offer of ₹33.55/kg is higher than your minimum acceptable price of ₹32.13/kg. Therefore, accepting this offer is economically better than the best alternative market strategy."
Local Trader,200,23.32,32.13,REJECT,,The offer of ₹23.32/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Local Trader,200,20.77,32.13,REJECT,,The offer of ₹20.77/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
Local Trader,200,20.59,32.13,REJECT,,The offer of ₹20.59/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
ABC Processor,100,28.82,32.13,REJECT,,The offer of ₹28.82/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
ABC Processor,500,22.71,32.13,REJECT,,The offer of ₹22.71/kg is significantly below your minimum acceptable price of ₹32.13/kg. Selling through Coimbatore is expected to provide a better economic return.
