Arrival Date,Market,District,Variety,Modal Price Per Kg,Arrival Quantity Kg,day_of_week,day_of_month,month,week_of_year,price_lag_1,price_lag_7,price_lag_14,rolling_price_7,rolling_price_14
2026-01-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.0,3150.0,3,22,1,4,22.0,27.5,45.0,23.142857142857142,25.678571428571427
2026-01-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.0,3540.0,4,23,1,4,22.0,26.5,39.0,22.5,24.464285714285715
2026-01-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,23.0,3780.0,5,24,1,4,22.0,24.0,29.0,22.357142857142858,24.035714285714285
2026-01-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.5,3120.0,6,25,1,4,23.0,23.0,32.0,22.285714285714285,23.357142857142858
2026-01-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.5,3830.0,0,26,1,5,22.5,22.5,22.0,22.285714285714285,23.392857142857142
2026-01-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,22.5,3670.0,1,27,1,5,22.5,22.0,22.0,22.357142857142858,23.428571428571427
2026-01-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,18.0,3880.0,2,28,1,5,22.5,22.0,26.0,21.785714285714285,22.857142857142858
2026-01-29,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,13.5,3980.0,3,29,1,5,18.0,22.0,27.5,20.571428571428573,21.857142857142858
2026-01-30,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,4080.0,4,30,1,5,13.5,22.0,26.5,19.0,20.75
2026-01-31,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3510.0,5,31,1,5,11.0,23.0,24.0,17.428571428571427,19.892857142857142
2026-02-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,2640.0,6,1,2,5,12.0,22.5,23.0,15.928571428571429,19.107142857142858
2026-02-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,2250.0,0,2,2,6,12.0,22.5,22.5,14.428571428571429,18.357142857142858
2026-02-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,2560.0,1,3,2,6,12.0,22.5,22.0,12.928571428571429,17.642857142857142
2026-02-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,2890.0,2,4,2,6,12.0,18.0,22.0,12.357142857142858,17.071428571428573
2026-02-05,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,2720.0,3,5,2,6,14.0,13.5,22.0,12.428571428571429,16.5
2026-02-06,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,3540.0,4,6,2,6,14.0,11.0,22.0,12.857142857142858,15.928571428571429
2026-02-07,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,15.0,3830.0,5,7,2,6,14.0,12.0,23.0,13.285714285714286,15.357142857142858
2026-02-08,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,14.0,4550.0,6,8,2,6,15.0,12.0,22.5,13.571428571428571,14.75
2026-02-09,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3820.0,0,9,2,7,14.0,12.0,22.5,13.428571428571429,13.928571428571429
2026-02-10,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3980.0,1,10,2,7,11.0,12.0,22.5,13.0,12.964285714285714
2026-02-11,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3930.0,2,11,2,7,9.0,14.0,18.0,12.571428571428571,12.464285714285714
2026-02-12,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,4060.0,3,12,2,7,11.0,14.0,13.5,12.285714285714286,12.357142857142858
2026-02-13,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3960.0,4,13,2,7,12.0,14.0,11.0,12.0,12.428571428571429
2026-02-14,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3820.0,5,14,2,7,12.0,15.0,12.0,11.571428571428571,12.428571428571429
2026-02-15,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3980.0,6,15,2,7,12.0,14.0,12.0,10.857142857142858,12.214285714285714
2026-02-16,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3900.0,0,16,2,8,9.0,11.0,12.0,10.571428571428571,12.0
2026-02-17,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3180.0,1,17,2,8,9.0,9.0,12.0,10.857142857142858,11.928571428571429
2026-02-18,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,2940.0,2,18,2,8,11.0,11.0,14.0,10.857142857142858,11.714285714285714
2026-02-19,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3850.0,3,19,2,8,11.0,12.0,14.0,10.857142857142858,11.571428571428571
2026-02-20,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3360.0,4,20,2,8,12.0,12.0,14.0,10.857142857142858,11.428571428571429
2026-02-21,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,12.0,3750.0,5,21,2,8,12.0,12.0,15.0,10.857142857142858,11.214285714285714
2026-02-22,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3590.0,6,22,2,8,12.0,9.0,14.0,10.857142857142858,10.857142857142858
2026-02-23,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3690.0,0,23,2,9,9.0,9.0,11.0,10.857142857142858,10.714285714285714
2026-02-24,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,2110.0,1,24,2,9,9.0,11.0,9.0,10.571428571428571,10.714285714285714
2026-02-25,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3130.0,2,25,2,9,9.0,11.0,11.0,10.571428571428571,10.714285714285714
2026-02-26,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3840.0,3,26,2,9,11.0,12.0,12.0,10.428571428571429,10.642857142857142
2026-02-27,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,10.0,4220.0,4,27,2,9,11.0,12.0,12.0,10.142857142857142,10.5
2026-02-28,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3690.0,5,28,2,9,10.0,12.0,12.0,9.714285714285714,10.285714285714286
2026-03-01,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3660.0,6,1,3,9,9.0,9.0,9.0,9.714285714285714,10.285714285714286
2026-03-02,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3690.0,0,2,3,10,9.0,9.0,9.0,10.0,10.428571428571429
2026-03-03,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,11.0,3090.0,1,3,3,10,11.0,9.0,11.0,10.285714285714286,10.428571428571429
2026-03-04,AJattihalli(Uzhavar Sandhai ),Dharmapuri,Deshi,9.0,3630.0,2,4,3,10,11.0,11.0,11.0,10.0,10.285714285714286
