State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date,Arrival Quantity Kg,Min Price Per Kg,Max Price Per Kg,Modal Price Per Kg
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2400.0,2200.0,Rs./Quintal,2.1,Metric Tonnes,2025-11-07,2100.0,20.0,24.0,22.0
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.85,Metric Tonnes,2025-11-07,850.0,25.0,30.0,27.5
Tamil Nadu,Theni,Andipatti(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2200.0,2500.0,2350.0,Rs./Quintal,0.95,Metric Tonnes,2025-11-07,950.0,22.0,25.0,23.5
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3000.0,3000.0,Rs./Quintal,1.83,Metric Tonnes,2025-11-07,1830.0,30.0,30.0,30.0
Tamil Nadu,Pudukkottai,Aranthangi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.56,Metric Tonnes,2025-11-07,560.0,30.0,35.0,32.5
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Vegetables,Tomato,Deshi,Local,3400.0,3800.0,3600.0,Rs./Quintal,0.16,Metric Tonnes,2025-11-07,160.0,34.0,38.0,36.0
Tamil Nadu,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.65,Metric Tonnes,2025-11-07,650.0,25.0,30.0,27.5
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2400.0,2200.0,Rs./Quintal,0.64,Metric Tonnes,2025-11-07,640.0,20.0,24.0,22.0
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,1.28,Metric Tonnes,2025-11-07,1280.0,20.0,25.0,22.5
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,2700.0,2600.0,Rs./Quintal,0.32,Metric Tonnes,2025-11-07,320.0,25.0,27.0,26.0
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,4000.0,3500.0,Rs./Quintal,0.74,Metric Tonnes,2025-11-07,740.0,30.0,40.0,35.0
Tamil Nadu,Thiruvannamalai,Chengam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1600.0,2000.0,1800.0,Rs./Quintal,0.48,Metric Tonnes,2025-11-07,480.0,16.0,20.0,18.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,2.2,Metric Tonnes,2025-11-07,2200.0,25.0,30.0,27.5
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,0.35,Metric Tonnes,2025-11-07,350.0,28.0,28.0,28.0
Tamil Nadu,Krishnagiri,Denkanikottai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,2.26,Metric Tonnes,2025-11-07,2260.0,20.0,25.0,22.5
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3200.0,3100.0,Rs./Quintal,0.27,Metric Tonnes,2025-11-07,270.0,30.0,32.0,31.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,2500.0,2500.0,Rs./Quintal,0.52,Metric Tonnes,2025-11-07,520.0,25.0,25.0,25.0
Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,2.1,Metric Tonnes,2025-11-07,2100.0,25.0,30.0,27.5
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.56,Metric Tonnes,2025-11-07,560.0,30.0,35.0,32.5
Tamil Nadu,Erode,Gobichettipalayam(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2600.0,3000.0,2800.0,Rs./Quintal,0.71,Metric Tonnes,2025-11-07,710.0,26.0,30.0,28.0
Tamil Nadu,The Nilgiris,Gudalur(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2500.0,3000.0,2750.0,Rs./Quintal,0.16,Metric Tonnes,2025-11-07,160.0,25.0,30.0,27.5
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,1600.0,2000.0,1800.0,Rs./Quintal,1.3,Metric Tonnes,2025-11-07,1300.0,16.0,20.0,18.0
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.6,Metric Tonnes,2025-11-07,600.0,30.0,35.0,32.5
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2000.0,2500.0,2250.0,Rs./Quintal,1.95,Metric Tonnes,2025-11-07,1950.0,20.0,25.0,22.5
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.6,Metric Tonnes,2025-11-07,600.0,30.0,35.0,32.5
Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3600.0,4000.0,3800.0,Rs./Quintal,0.03,Metric Tonnes,2025-11-07,30.0,36.0,40.0,38.0
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,2800.0,2800.0,2800.0,Rs./Quintal,1.86,Metric Tonnes,2025-11-07,1860.0,28.0,28.0,28.0
Tamil Nadu,Kancheepuram,Kancheepuram(Uzhavar Sandhai ),Vegetables,Tomato,Deshi,Local,3000.0,3500.0,3250.0,Rs./Quintal,0.55,Metric Tonnes,2025-11-07,550.0,30.0,35.0,32.5
