buyer,offer_price,quantity
Local Trader,22.05,200
Local Trader,30.36,100
Local Trader,22.78,300
Local Trader,30.98,500
Local Trader,31.39,500
Local Trader,30.38,100
Local Trader,33.55,400
Local Trader,23.32,200
Local Trader,20.77,200
Local Trader,20.59,200
ABC Processor,28.82,100
ABC Processor,22.71,500
ABC Processor,27.1,500
ABC Processor,30.97,300
ABC Processor,33.87,200
ABC Processor,26.33,500
ABC Processor,27.11,400
ABC Processor,32.67,200
ABC Processor,27.84,100
ABC Processor,29.75,300
Wholesale Buyer,28.41,500
Wholesale Buyer,21.15,500
Wholesale Buyer,27.95,200
Wholesale Buyer,30.87,400
Wholesale Buyer,28.59,100
Wholesale Buyer,28.08,100
Wholesale Buyer,31.07,100
Wholesale Buyer,33.29,200
Wholesale Buyer,33.15,200
Wholesale Buyer,20.37,200
Retail Distributor,34.86,300
Retail Distributor,33.12,500
Retail Distributor,25.76,300
Retail Distributor,21.05,400
Retail Distributor,20.79,100
Retail Distributor,26.03,500
Retail Distributor,27.2,400
Retail Distributor,34.76,200
Retail Distributor,21.38,400
Retail Distributor,31.06,100
