day,crop,market,current_price,forecast_price,transport_cost_per_kg,commission_per_kg,storage_cost_per_kg,spoilage_percentage,demand_score
1,Tomato,Koyambedu,25.75,29.45,2.33,0.68,0.29,3.25,60
1,Tomato,Madurai,26.59,26.59,0.86,0.72,0.23,7.78,79
1,Tomato,Coimbatore,24.12,23.21,0.96,0.44,0.51,5.46,98
1,Tomato,Salem,27.25,27.65,0.62,0.98,0.34,2.72,93
1,Tomato,Trichy,27.14,28.7,0.62,0.69,0.3,2.52,53
2,Tomato,Koyambedu,31.42,32.8,1.46,0.21,0.34,3.93,56
2,Tomato,Madurai,28.1,31.1,0.93,0.51,0.31,8.04,55
2,Tomato,Coimbatore,24.08,25.49,0.58,0.87,0.47,5.16,85
2,Tomato,Salem,27.98,31.51,0.72,0.36,0.23,4.6,65
2,Tomato,Trichy,29.47,30.71,1.97,0.97,0.56,4.21,78
3,Tomato,Koyambedu,30.02,28.47,2.97,0.82,0.32,2.04,60
3,Tomato,Madurai,23.99,26.26,2.48,0.68,0.76,7.21,77
3,Tomato,Coimbatore,30.63,32.37,1.33,0.25,0.39,4.6,84
3,Tomato,Salem,27.91,27.56,1.9,0.51,0.78,8.79,54
3,Tomato,Trichy,27.61,30.24,1.73,0.62,0.46,2.2,62
4,Tomato,Koyambedu,24.02,27.39,1.69,0.65,0.62,3.11,88
4,Tomato,Madurai,26.1,28.64,1.07,0.26,0.37,3.29,51
4,Tomato,Coimbatore,28.24,28.02,0.76,0.57,0.33,5.33,60
4,Tomato,Salem,25.24,23.98,1.39,0.93,0.36,7.18,62
4,Tomato,Trichy,30.61,28.65,1.78,0.53,0.33,2.96,93
5,Tomato,Koyambedu,24.44,23.45,1.05,0.65,0.44,2.52,61
5,Tomato,Madurai,24.52,25.5,1.25,0.43,0.22,6.88,51
5,Tomato,Coimbatore,26.11,24.31,1.36,0.71,0.61,6.25,75
5,Tomato,Salem,31.86,31.31,2.18,0.81,0.34,7.83,73
5,Tomato,Trichy,26.7,30.6,1.5,0.85,0.68,3.21,55
